Question,Question Type,Answer Option 1,Answer Option 2,Answer Option 3,Answer Option 4,Answer Option 5,Answer Option 6,Correct Response #,Explanation,Knowledge Area
Which of these countermeasures would be effective against rainbow tables?,multiple-choice,Salting.,Keeping hashes in plaintext.,Key stretching.,Limiting login attempts.,,,1,"Salt (Salting): Random data that is used as an additional input to a one-way function that ""hashes"" a password or passphrase. The primary function of salts is to defend against dictionary attacks or a pre-compiled rainbow table attack. Rainbow Tables: Pre-made list of plaintext and matching ciphertext, often passwords and matching hashes. A table can contain millions of pairs.",CBK 3: Security Engineering
The NSA wanted to embed the clipper chip on all motherboards. Which encryption algorithm did the chip use?,multiple-choice,DSA.,3DES.,RSA.,Skipjack.,,,4,"The Clipper chip was a chipset that was developed and promoted by the United States National Security Agency (NSA) as an encryption device that secured “voice and data messages"" with a built-in backdoor. It used SkipJack, a block cipher.",CBK 3: Security Engineering
"In which of these protocols, is IPSEC built into and NOT added on later?",multiple-choice,IPv4.,IPv6.,PGP.,HMAC.,,,2,"IPSEC (Internet Protocol Security): Set of protocols that provide a cryptographic layer to IP traffic; for IPv4, it is bolted on. For IPv6, it is designed into the protocol.",CBK 3: Security Engineering
"What could be a type of physical access control that we would use, to prevent cars and vans from entering our perimeter?",multiple-choice,Lights.,Cameras.,Bollards.,Motion sensors.,,,3,"Bollards (Preventative): Used to prevent cars or trucks from entering an area while allowing foot traffic to pass. Often, shops use planters or similar; it looks prettier, but achieves the same goal. Most are static heavy duty objects, but some cylindrical versions can also be electronically raised or lowered to allow authorized traffic past a ""no traffic"" point. Some are permanent fixtures and can be removed with a key or other unlock function.",CBK 3: Security Engineering
"When, in telecommunications, we talk about the Demarc, what are we referring to?",multiple-choice,The ISP terminates their line and your network begins.,You place all your routers and switches.,You ensure all of the other tenants have full access to your network equipment.,The servers are places to ensure faster speeds.,,,1,Demarc - Point of Demarcation (POD): Where the ISP (Internet Service Provider) terminates their phone/internet lines and your network begins; most buildings only have one.,CBK 3: Security Engineering
"When we talk about WORM media, what are we referring to?",multiple-choice,RAM.,EEPROM.,Hard disks.,R DVD's.,,,4,"WORM Media (Write Once Read Many): CD/DVDs can be WORM Media (R), if they are not R/W (Read/Write).",CBK 3: Security Engineering
We are using cloud computing and have chosen to use IaaS. Who is responsible for the databases?,multiple-choice,The vendor.,The customer.,The security team.,The network team.,,,2,"IaaS - (Infrastructure as a Service) The vendor provides infrastructure up to the OS, the customer adds the OS and up.",CBK 3: Security Engineering
When would a logic bomb go off?,multiple-choice,A certain event happens or at a certain time.,As soon as it is introduced to the system.,When it has infected the entire network.,When the system gets internet access.,,,1,"Logic Bombs - Malicious code that executes at a certain time or event - they are dormant until the event (IF/THEN). IF Bob is not getting an annual bonus over $10,000, THEN execute malicious code. IF date and time 5/15/18 00:02:12, THEN execute malicious code.",CBK 3: Security Engineering
You hear a colleague talk about polyinstantiation. What does that mean?,multiple-choice,Collecting data to analyze it.,Deducing facts from data rather than specific statements.,"Two or more instances of the same data, depending on who accesses it.",Looking at a normal baseline and learning of new factors on the network from higher traffic.,,,3,"Polyinstantiation  (Alternative Facts) – Two (or more) instances of the same file depending on who accesses it. The real information may be available to subjects with Top Secret clearance, but different information will be available to staff with Secret or lower clearance.",CBK 3: Security Engineering
We have 100 users all needing to communicate with each other. If we are using asymmetric encryption how many keys would we need?,multiple-choice,200,100,4950,2000,,,1,"Asymmetric encryption uses 2 keys per user, so we would need 200 keys.",CBK 3: Security Engineering
Which type of ASTM standard gate could you have at your house?,multiple-choice,Class I.,Class III.,Class IV.,Class XI.,,,1,Gate ASTM Standards: Class I Residential (your house).,CBK 3: Security Engineering
We are implementing passive monitoring in our data center. We have chosen to use infrared motion detectors. What do they use to detect movement?,multiple-choice,Heat.,Pulses.,Light.,Sound.,,,1,Infrared sensors detect changes in heat signatures.,CBK 3: Security Engineering
"When we are installing motion sensors, we are implementing which type of control?",multiple-choice,Administrative and detective.,Detective and deterrence.,Deterrence and preventative.,Preventative and detective.,,,2,"Motion Detectors (Detective, Deterrence): Used to alert staff by triggering an alarm (silent or not). Someone is here, did an authorized person pass the checkpoint? IF yes, then log the event and do nothing else - IF no, then alert/alarm. Basic ones are light-based - They require light, making them not very reliable.",CBK 3: Security Engineering
What can we use digital signatures to provide?,multiple-choice,Confidentiality.,Availability.,Non-repudiation.,Authentication.,,,3,Digital Signatures: Provides Integrity and Non-Repudiation.,CBK 3: Security Engineering
Jane and Bob are talking about hashing and they use the abbreviation MAC. What are they talking about?,multiple-choice,Mandatory Access Control.,Media Access Control.,Message Authentication Code.,Message Access Code.,,,3,"MAC (Message Authentication Code) – The exam uses MAC for several concepts; it will be spelled out which one it is. Hash function using a key. CBC-MAC, for instance, uses Cipher Block Chaining from a symmetric encryption (like DES). Provides integrity and authenticity.",CBK 3: Security Engineering
We are talking about implementing new encryption in our organization. Which of these would be TRUE about IDEA?,multiple-choice,"It is a 64 bit block cipher, with 56 bit keys.",It is a 64 bit block cipher with a 112 bit key.,It is a 64 bit block cipher with a 128 bit key.,"It is a 128 bit block cipher with 128, 192 or 256 bit keys.",,,3,"IDEA (International Data Encryption Algorithm): Designed to replace DES. Symmetric, 128 bit key, 64 bit block size, considered safe. Not widely used now, since it is patented and slower than AES.",CBK 3: Security Engineering
